# Temp = -10	1.0e+14	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

6.31e+11	1.42e+08	9.64e+07	0.679
1.00e+12	1.74e+08	1.06e+08	0.61


# Temp = 35	3.2e+09	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

3.20e+09	5.43e+06	3.41e+06	0.628
5.06e+09	6.19e+06	4.54e+06	0.733
8.03e+09	7.21e+06	6.03e+06	0.837
1.27e+10	8.60e+06	8.01e+06	0.931
2.02e+10	1.05e+07	1.06e+07	1.01
3.20e+10	1.31e+07	1.40e+07	1.07
5.06e+10	1.67e+07	1.85e+07	1.11
8.03e+10	2.13e+07	2.38e+07	1.12
1.27e+11	2.79e+07	3.09e+07	1.11
2.02e+11	3.64e+07	3.91e+07	1.07
3.20e+11	4.69e+07	4.84e+07	1.03


# Temp = 40	1.0e+09	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

1.00e+09	3.85e+06	1.11e+06	0.289
1.58e+09	4.11e+06	1.43e+06	0.347
2.51e+09	4.44e+06	1.84e+06	0.415
3.98e+09	4.86e+06	2.40e+06	0.494
6.31e+09	5.40e+06	3.15e+06	0.584
1.00e+10	6.07e+06	4.12e+06	0.679
1.58e+10	7.02e+06	5.51e+06	0.785
2.51e+10	8.26e+06	7.34e+06	0.889
3.98e+10	9.95e+06	9.80e+06	0.985
6.31e+10	1.22e+07	1.30e+07	1.06
1.00e+11	1.54e+07	1.72e+07	1.12


# Temp = 45	3.2e+08	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

3.20e+08	3.36e+06	5.39e+05	0.16
5.06e+08	3.49e+06	6.60e+05	0.189
8.03e+08	3.66e+06	8.24e+05	0.225
1.27e+09	3.86e+06	1.03e+06	0.268
2.02e+09	4.11e+06	1.32e+06	0.321
3.20e+09	4.41e+06	1.68e+06	0.382
5.06e+09	4.81e+06	2.19e+06	0.456
8.03e+09	5.28e+06	2.84e+06	0.537
1.27e+10	5.88e+06	3.66e+06	0.622
2.02e+10	6.69e+06	4.79e+06	0.715
3.20e+10	7.85e+06	6.41e+06	0.817


# Temp = 50	1.0e+08	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

1.00e+08	3.15e+06	3.29e+05	0.104
1.58e+08	3.23e+06	3.92e+05	0.121
2.51e+08	3.33e+06	4.68e+05	0.14
3.98e+08	3.46e+06	5.72e+05	0.166
6.31e+08	3.60e+06	7.02e+05	0.195
1.00e+09	3.77e+06	8.69e+05	0.231
1.58e+09	3.98e+06	1.09e+06	0.274
2.51e+09	4.23e+06	1.38e+06	0.326
3.98e+09	4.56e+06	1.76e+06	0.387
6.31e+09	4.97e+06	2.31e+06	0.464
1.00e+10	5.44e+06	2.97e+06	0.546


# Temp = 55	3.2e+07	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

3.20e+07	3.05e+06	2.25e+05	0.074
5.06e+07	3.10e+06	2.61e+05	0.0842
8.03e+07	3.17e+06	3.08e+05	0.0972
1.27e+08	3.25e+06	3.67e+05	0.113
2.02e+08	3.35e+06	4.41e+05	0.132
3.20e+08	3.46e+06	5.33e+05	0.154
5.06e+08	3.60e+06	6.50e+05	0.181
8.03e+08	3.76e+06	8.04e+05	0.214
1.27e+09	3.96e+06	1.00e+06	0.253
2.02e+09	4.20e+06	1.28e+06	0.304
3.20e+09	4.48e+06	1.64e+06	0.366


# Temp = 60	1.0e+07	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

1.00e+07	2.99e+06	1.75e+05	0.0585
1.58e+07	3.03e+06	1.93e+05	0.0638
2.51e+07	3.08e+06	2.21e+05	0.0715
3.98e+07	3.14e+06	2.57e+05	0.0817
6.31e+07	3.21e+06	3.05e+05	0.0948
1.00e+08	3.30e+06	3.65e+05	0.111
1.58e+08	3.39e+06	4.36e+05	0.129
