# Temperature = -10.0
1.56e+04	9.08e+08	2.46e+07	2.71e-02
2.46e+04	9.13e+08	2.35e+07	2.58e-02
3.91e+04	9.18e+08	2.41e+07	2.63e-02
6.20e+04	9.22e+08	2.36e+07	2.56e-02
9.83e+04	9.27e+08	2.38e+07	2.57e-02
1.56e+05	9.32e+08	2.37e+07	2.55e-02
2.46e+05	9.37e+08	2.37e+07	2.53e-02
3.91e+05	9.41e+08	2.37e+07	2.52e-02
6.20e+05	9.46e+08	2.42e+07	2.56e-02
9.83e+05	9.51e+08	2.45e+07	2.58e-02
1.56e+06	9.56e+08	2.49e+07	2.60e-02
# Temperature = -5.0
7.43e+01	8.86e+08	2.53e+07	2.86e-02
1.17e+02	8.91e+08	2.46e+07	2.76e-02
1.87e+02	8.96e+08	2.45e+07	2.73e-02
2.96e+02	9.01e+08	2.42e+07	2.68e-02
4.69e+02	9.06e+08	2.41e+07	2.66e-02
7.43e+02	9.11e+08	2.39e+07	2.63e-02
1.17e+03	9.16e+08	2.38e+07	2.60e-02
1.87e+03	9.20e+08	2.40e+07	2.60e-02
2.96e+03	9.25e+08	2.41e+07	2.60e-02
4.69e+03	9.30e+08	2.41e+07	2.59e-02
7.43e+03	9.35e+08	2.42e+07	2.59e-02
# Temperature = 0.0
1.00e+00	8.60e+08	2.83e+07	3.29e-02
1.58e+00	8.66e+08	2.64e+07	3.05e-02
2.51e+00	8.72e+08	2.62e+07	3.00e-02
3.98e+00	8.77e+08	2.57e+07	2.93e-02
6.31e+00	8.82e+08	2.53e+07	2.87e-02
1.00e+01	8.87e+08	2.50e+07	2.82e-02
1.58e+01	8.92e+08	2.48e+07	2.78e-02
2.51e+01	8.97e+08	2.47e+07	2.76e-02
3.98e+01	9.02e+08	2.47e+07	2.74e-02
6.31e+01	9.07e+08	2.47e+07	2.73e-02
1.00e+02	9.13e+08	2.46e+07	2.70e-02
# Temperature = 5.0
2.88e-02	8.24e+08	3.43e+07	4.16e-02
4.55e-02	8.32e+08	3.19e+07	3.83e-02
7.23e-02	8.38e+08	3.07e+07	3.66e-02
1.15e-01	8.44e+08	2.93e+07	3.47e-02
1.82e-01	8.51e+08	2.86e+07	3.36e-02
2.88e-01	8.57e+08	2.80e+07	3.26e-02
4.55e-01	8.62e+08	2.74e+07	3.18e-02
7.23e-01	8.67e+08	2.70e+07	3.11e-02
1.15e+00	8.73e+08	2.66e+07	3.05e-02
1.82e+00	8.79e+08	2.63e+07	2.99e-02
2.88e+00	8.85e+08	2.60e+07	2.94e-02
# Temperature = 10.0
1.48e-03	6.96e+06	8.99e+05	1.29e-01
2.33e-03	6.97e+06	8.93e+05	1.28e-01
3.70e-03	6.96e+06	8.80e+05	1.26e-01
5.87e-03	7.01e+06	9.08e+05	1.30e-01
9.31e-03	7.18e+06	8.92e+05	1.24e-01
1.48e-02	7.23e+06	8.67e+05	1.20e-01
2.33e-02	7.28e+06	8.76e+05	1.20e-01
3.70e-02	7.30e+06	8.60e+05	1.18e-01
5.87e-02	7.38e+06	8.81e+05	1.19e-01
9.31e-02	7.41e+06	9.13e+05	1.23e-01
1.48e-01	7.47e+06	9.11e+05	1.22e-01
# Temperature = 10.0
1.48e-03	6.96e+06	8.99e+05	1.29e-01
2.33e-03	6.97e+06	8.93e+05	1.28e-01
3.70e-03	6.96e+06	8.80e+05	1.26e-01
5.87e-03	7.01e+06	9.08e+05	1.30e-01
9.31e-03	7.18e+06	8.92e+05	1.24e-01
1.48e-02	7.23e+06	8.67e+05	1.20e-01
2.33e-02	7.28e+06	8.76e+05	1.20e-01
3.70e-02	7.30e+06	8.60e+05	1.18e-01
5.87e-02	7.38e+06	8.81e+05	1.19e-01
9.31e-02	7.41e+06	9.13e+05	1.23e-01
1.48e-01	7.47e+06	9.11e+05	1.22e-01
# Temperature = 15.0
1.18e-04	6.23e+08	8.77e+07	1.41e-01
